city,ds,yhat
Chennai,2017-10-05,74.89835812062128
Chennai,2017-10-06,74.95592629554008
Chennai,2017-10-09,75.01811852056277
Chennai,2017-10-10,75.02096424299475
Chennai,2017-10-11,74.45785464973794
Chennai,2017-10-12,74.83910623086247
Chennai,2017-10-13,74.87353781996674
Chennai,2017-10-16,74.85826712204376
Chennai,2017-10-17,74.83374198805552
Chennai,2017-10-18,74.24322983514236
Chennai,2017-10-24,74.48464221227329
Chennai,2017-10-25,73.88170879545
Chennai,2017-10-26,74.22766790716484
Chennai,2017-10-30,74.16613609218967
Chennai,2017-10-31,74.13930047475802
Chennai,2017-11-02,73.92155072141074
Chennai,2017-11-03,73.9505645806399
Chennai,2017-11-06,73.97004681064918
Chennai,2017-11-07,73.9731736042888
Chennai,2017-11-09,73.8125550151455
Chennai,2017-11-10,73.8670610912037
Chennai,2017-11-13,73.9415053613978
Chennai,2017-11-14,73.95365279364565
Chennai,2017-11-15,73.4014075409191
Chennai,2017-11-16,73.79442769269426
Chennai,2017-11-17,73.84086731781306
Chennai,2017-11-20,73.8565502490344
Chennai,2017-11-21,73.8386131010154
Chennai,2017-11-22,73.2519107974872
Chennai,2017-11-23,73.60682592690448
Chennai,2017-11-24,73.61234961542945
Chennai,2017-11-27,73.49807550542093
Chennai,2017-11-28,73.43790858132533
Chennai,2017-11-29,72.81131954552097
Chennai,2017-11-30,73.12974867769104
Chennai,2017-12-01,73.10319557751279
Chennai,2017-12-05,72.861705947601
Chennai,2017-12-06,72.23693478023344
Chennai,2017-12-07,72.56542275818448
Chennai,2017-12-08,72.55729599761486
Chennai,2017-12-11,72.48636177729543
Chennai,2017-12-12,72.46992183352904
Chennai,2017-12-13,71.90158028992761
Chennai,2017-12-15,72.35124337561449
Chennai,2017-12-18,72.50066742031122
Chennai,2017-12-19,72.5603857719355
Chennai,2017-12-20,72.06768087120506
Chennai,2017-12-21,72.53238892345775
Chennai,2017-12-22,72.66267572167119
Chennai,2017-12-26,73.11156175850658
Chennai,2017-12-27,72.66359853019647
Chennai,2017-12-28,73.16585331722862
Chennai,2017-12-29,73.32615573660874
Chennai,2018-01-01,73.70730175459461
Chennai,2018-01-02,73.81759414342675
Chennai,2018-01-03,73.36140913280968
Chennai,2018-01-05,73.987112479062
Chennai,2018-01-08,74.26975793677146
Chennai,2018-01-09,74.33813297582586
Chennai,2018-01-10,73.83659089975946
Chennai,2018-01-11,74.27554542983835
Chennai,2018-01-12,74.3639460672004
Chennai,2018-01-15,74.4896334912261
Chennai,2018-01-16,74.50554276974759
Chennai,2018-01-17,73.9523376750922
Chennai,2018-01-18,74.34089227153093
Chennai,2018-01-19,74.38057147392348
Chennai,2018-01-22,74.37366736941125
Chennai,2018-01-23,74.35086908908703
Chennai,2018-01-25,74.11840242792202
Chennai,2018-01-29,74.05831022459296
Chennai,2018-01-30,74.02184566894184
Chennai,2018-02-01,73.77394628682258
Chennai,2018-02-02,73.78313708382055
Chennai,2018-02-05,73.73055417601728
Chennai,2018-02-06,73.70782340471524
Chennai,2018-02-08,73.49786559192195
Chennai,2018-02-09,73.53080559149035
Chennai,2018-02-12,73.56481474463568
Chennai,2018-02-13,73.57473114918169
Chennai,2018-02-15,73.43287371110426
Chennai,2018-02-16,73.50018038673198
Chennai,2018-02-19,73.63158235934964
Chennai,2018-02-20,73.67009563917196
Chennai,2018-02-21,73.1483798890255
