city,ds,yhat
Chennai,2018-11-27,70.26095944706182
Chennai,2018-11-28,70.26418850200815
Chennai,2018-11-29,70.03537929960768
Chennai,2018-11-30,70.24805820281368
Chennai,2018-12-01,70.55142434430799
Chennai,2018-12-02,70.62682874571175
Chennai,2018-12-03,70.05299306430646
Chennai,2018-12-04,70.19019093721872
Chennai,2018-12-05,70.18299856807842
Chennai,2018-12-06,69.940074092361
Chennai,2018-12-07,70.13512262922184
Chennai,2018-12-10,69.86965480024821
Chennai,2018-12-11,69.979307883048
Chennai,2018-12-12,69.94366287987216
Chennai,2018-12-13,69.67217720640284
Chennai,2018-12-14,69.83941006756267
Chennai,2018-12-17,69.50385813031137
Chennai,2018-12-18,69.59751137439484
Chennai,2018-12-19,69.5508834971084
Chennai,2018-12-20,69.27411025260223
Chennai,2018-12-21,69.44231390311653
Chennai,2018-12-24,69.1507124458872
Chennai,2018-12-25,69.2730371950858
Chennai,2018-12-26,69.26181774650016
Chennai,2018-12-27,69.02675086082658
Chennai,2018-12-28,69.2423404639268
Chennai,2018-12-31,69.11833131451128
Chennai,2019-01-02,69.35134962341168
Chennai,2019-01-03,69.1764833599
Chennai,2019-01-04,69.44995806789777
Chennai,2019-01-07,69.4723864362684
Chennai,2019-01-08,69.69111690531403
Chennai,2019-01-09,69.76834610591422
Chennai,2019-01-10,69.61160768538785
Chennai,2019-01-11,69.89340791839352
Chennai,2019-01-14,69.87890989594815
Chennai,2019-01-16,70.09962745071563
Chennai,2019-01-17,69.89159343394036
Chennai,2019-01-18,70.11416914497926
Chennai,2019-01-21,69.88655469931098
Chennai,2019-01-22,69.99435909738199
Chennai,2019-01-23,69.95013042230102
Chennai,2019-01-24,69.66376230364828
Chennai,2019-01-25,69.81031877848453
Chennai,2019-01-28,69.3836686984427
Chennai,2019-01-29,69.43925003875484
Chennai,2019-01-30,69.35166937909743
Chennai,2019-01-31,69.03159949789266
Chennai,2019-02-01,69.15464935779399
Chennai,2019-02-05,68.79362695981114
Chennai,2019-02-06,68.73290211291743
Chennai,2019-02-07,68.4479246372446
Chennai,2019-02-08,68.61318813710237
Chennai,2019-02-11,68.33481235301903
Chennai,2019-02-12,68.46483609252155
Chennai,2019-02-13,68.46062074061064
Chennai,2019-02-14,68.23036135245816
Chennai,2019-02-15,68.44705944126764
Chennai,2019-02-18,68.29013646267356
Chennai,2019-02-19,68.44613304736805
Chennai,2019-02-20,68.45936059212434
Chennai,2019-02-22,68.45366791446236
Chennai,2019-02-25,68.24216771245635
Chennai,2019-02-26,68.36426879723693
Chennai,2019-02-27,68.33722020095222
Chennai,2019-02-28,68.06995461029149
Chennai,2019-03-01,68.23659873051649
Chennai,2019-03-04,67.86755526794076
Chennai,2019-03-05,67.9390002897261
Chennai,2019-03-06,67.86464470039078
Chennai,2019-03-07,67.55475964499844
Chennai,2019-03-08,67.68468365505758
Chennai,2019-03-11,67.25045280625524
Chennai,2019-03-12,67.31733549302322
Chennai,2019-03-13,67.24752205210194
Chennai,2019-03-14,66.9512382221032
Chennai,2019-03-15,67.10353843371492
Chennai,2019-03-18,66.78288741524885
Chennai,2019-03-19,66.90005765787916
Chennai,2019-03-20,66.88481150487226
Chennai,2019-03-21,66.64603605318297
Chennai,2019-03-22,66.85737788663202
Chennai,2019-03-23,67.16798590009574
Chennai,2019-03-24,67.25899246320766
Chennai,2019-03-25,66.70873753633089
Chennai,2019-03-26,66.87695857638016
Chennai,2019-03-27,66.90755268421516
Chennai,2019-03-28,66.7083702804295
Chennai,2019-03-29,66.952196917434
Chennai,2019-04-01,66.85281397338886
Chennai,2019-04-02,67.02065023884816
Chennai,2019-04-03,67.04266082402764
Chennai,2019-04-04,66.82715435615462
Chennai,2019-04-05,67.04758282786389
Chennai,2019-04-08,66.8449185346566
Chennai,2019-04-09,66.9711298479103
Chennai,2019-04-10,66.95007832258369
Chennai,2019-04-11,66.69144457052096
Chennai,2019-04-12,66.87005160959967
Chennai,2019-04-15,66.56269923934389
Chennai,2019-04-16,66.66476201188343
Chennai,2019-04-17,66.62649670553584
Chennai,2019-04-18,66.35825881270995
Chennai,2019-04-19,66.5353459829333
Chennai,2019-04-20,66.8086964250471
Chennai,2019-04-21,66.861322139839
Chennai,2019-04-22,66.27348286763069
Chennai,2019-04-23,66.40682491031616
Chennai,2019-04-24,66.40709261627043
Chennai,2019-04-25,66.18387313094593
Chennai,2019-04-26,66.4115322819183
Chennai,2019-04-27,66.73993786009785
Chennai,2019-04-28,66.85092104515284
Chennai,2019-04-29,66.32348107634158
Chennai,2019-04-30,66.5179564880575
Chennai,2019-05-02,66.41420555766595
Chennai,2019-05-03,66.69737819888793
Chennai,2019-05-04,67.07698605579142
Chennai,2019-05-05,67.23380059584773
Chennai,2019-05-06,66.74589584152042
Chennai,2019-05-07,66.97284052307405
Chennai,2019-05-08,67.05845942757324
Chennai,2019-05-09,66.91062331113821
Chennai,2019-05-10,67.20222415364708
Chennai,2019-05-11,67.5819311014244
Chennai,2019-05-12,67.73067712499716
Chennai,2019-05-13,67.22688098346346
Chennai,2019-05-14,67.43062752638428
Chennai,2019-05-15,67.4864131846819
Chennai,2019-05-16,67.30291652971573
Chennai,2019-05-17,67.55395127416466
Chennai,2019-05-18,67.88919771864354
Chennai,2019-05-19,67.99066337374808
Chennai,2019-05-20,67.4378780752046
Chennai,2019-05-21,67.5920473518248
Chennai,2019-05-22,67.59877160826572
Chennai,2019-05-23,67.36779167690497
Chennai,2019-05-24,67.57391872668362
Chennai,2019-05-25,67.86774508237012
Chennai,2019-05-26,67.93208714280904
Chennai,2019-05-27,67.34716608042135
Chennai,2019-05-28,67.4747503418129
Chennai,2019-05-29,67.46086766315297
Chennai,2019-05-30,67.2155471941283
Chennai,2019-05-31,67.41374965490832
Chennai,2019-06-01,67.7060819061816
Chennai,2019-06-02,67.77524685766133
Chennai,2019-06-03,67.20123404791521
Chennai,2019-06-04,67.34547449498996
Chennai,2019-06-05,67.35356705474298
Chennai,2019-06-06,67.13503636365948
Chennai,2019-06-07,67.3642797504244
Chennai,2019-06-10,67.26423522523604
Chennai,2019-06-11,67.45030319930547
Chennai,2019-06-12,67.5013589255601
Chennai,2019-06-13,67.3263485565664
Chennai,2019-06-14,67.59913302235167
Chennai,2019-06-15,67.96922713528026
Chennai,2019-06-16,68.11827147811167
Chennai,2019-06-18,67.85061977141505
Chennai,2019-06-19,67.93913015963639
Chennai,2019-06-20,67.7995075913067
Chennai,2019-06-21,68.10544710873901
Chennai,2019-06-22,68.50633643533634
Chennai,2019-06-24,68.21649991953795
Chennai,2019-06-25,68.4650979010912
Chennai,2019-06-27,68.45243939208473
Chennai,2019-06-28,68.77349185468009
Chennai,2019-06-29,69.18665159000922
Chennai,2019-06-30,69.37336708187635
Chennai,2019-07-01,68.91242512375271
Chennai,2019-07-02,69.16411251269045
Chennai,2019-07-03,69.27328077149544
Chennai,2019-07-04,69.14810901202277
Chennai,2019-07-05,69.46205299049761
Chennai,2019-07-06,69.86424607050763
Chennai,2019-07-07,70.03596796881672
Chennai,2019-07-08,69.55585334238138
Chennai,2019-07-09,69.78406360000419
Chennai,2019-07-10,69.8650289797711
Chennai,2019-07-11,69.70722079494386
Chennai,2019-07-12,69.98411108121823
Chennai,2019-07-13,70.3449153513287
Chennai,2019-07-15,69.94144030767774
Chennai,2019-07-16,70.1165085113232
Chennai,2019-07-17,70.14110475332573
Chennai,2019-07-18,69.9241846170192
Chennai,2019-07-19,70.13978398906518
Chennai,2019-07-20,70.43775572945046
Chennai,2019-07-22,69.90685381553482
Chennai,2019-07-24,69.98197364824618
Chennai,2019-07-25,69.70591991041591
Chennai,2019-07-26,69.86558082404741
Chennai,2019-07-27,70.11160851375104
Chennai,2019-07-29,69.49176146063508
Chennai,2019-07-30,69.56809660634566
Chennai,2019-07-31,69.5020771458634
Chennai,2019-08-01,69.20390549552518
Chennai,2019-08-02,69.34873793374675
Chennai,2019-08-03,69.58739462554867
Chennai,2019-08-04,69.60280337020465
Chennai,2019-08-05,68.97518267714749
Chennai,2019-08-06,69.06618810152268
Chennai,2019-08-07,69.02162945508667
Chennai,2019-08-08,68.75121938049962
Chennai,2019-08-09,68.92951110150483
Chennai,2019-08-10,69.20662161194473
Chennai,2019-08-11,69.26469110764694
Chennai,2019-08-12,68.68308386898855
Chennai,2019-08-13,68.82255406515429
Chennai,2019-08-14,68.82798358537467
Chennai,2019-08-15,68.6081518391592
Chennai,2019-08-16,68.83669477194339
Chennai,2019-08-17,69.16284878928124
Chennai,2019-08-18,69.26792983651053
Chennai,2019-08-19,68.73055231349494
Chennai,2019-08-20,68.91081081150938
Chennai,2019-08-21,68.9530313520862
Chennai,2019-08-22,68.76555171524026
Chennai,2019-08-23,69.02168783028819
Chennai,2019-08-24,69.37608518874478
Chennai,2019-08-25,69.50438818646955
Chennai,2019-08-26,68.98526658506309
Chennai,2019-08-27,69.17898768388575
Chennai,2019-08-28,69.23015833375173
Chennai,2019-08-29,69.04749321844847
Chennai,2019-08-30,69.30476674618244
Chennai,2019-08-31,69.65154449844593
Chennai,2019-09-01,69.76964488885187
Chennai,2019-09-02,69.2383362565252
Chennai,2019-09-03,69.41849304958137
Chennai,2019-09-04,69.45531855077878
Chennai,2019-09-05,69.2580945862486
Chennai,2019-09-06,69.5011161001181
Chennai,2019-09-07,69.83440704337163
Chennai,2019-09-08,69.94016867593291
Chennai,2019-09-09,69.39796588537902
Chennai,2019-09-10,69.56887547810697
Chennai,2019-09-11,69.59820410798294
Chennai,2019-09-12,69.39523640299421
Chennai,2019-09-13,69.63417119562192
Chennai,2019-09-14,69.96484223113967
Chennai,2019-09-15,70.06917428405593
Chennai,2019-09-16,69.52638002806819
Chennai,2019-09-17,69.69712127601805
Chennai,2019-09-18,69.72624184460005
Chennai,2019-09-19,69.52253213568524
Chennai,2019-09-20,69.75968282712617
Chennai,2019-09-21,70.08702350576802
Chennai,2019-09-22,70.18599661914443
Chennai,2019-09-23,69.63537154191812
Chennai,2019-09-24,69.79542184528566
Chennai,2019-09-25,69.81067253269293
Chennai,2019-09-26,69.58967689397264
Chennai,2019-09-27,69.80597999585747
Chennai,2019-09-28,70.10886434264663
Chennai,2019-09-29,70.17982786946496
Chennai,2019-09-30,69.59779894130693
Chennai,2019-10-01,69.72331141784748
Chennai,2019-10-02,69.70124661452184
